stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,in,type
MLAM2,MLAM2,MARIA LAMAS,,41.1700277572464,-8.63225000329992,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=MLAM2,True,bus
CPR1,CPR1,CASA DA PRELADA,,41.1729999421155,-8.63316660537262,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CPR1,True,bus
CPR2,CPR2,CASA DA PRELADA,,41.1735277260281,-8.63361107223982,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CPR2,True,bus
PREL2,PREL2,PRELADA,,41.1733889106082,-8.63724998274755,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PREL2,True,bus
HSA5,HSA5,HOSP. ST. ANTÓNIO,,41.1477660933285,-8.6224501585514,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HSA5,True,bus
HMLM3,HMLM3,HOMEM DO LEME,,41.1634071895403,-8.68588700775321,PRT2,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=HMLM3,True,bus
LIMA1,LIMA1,LIMA,,41.1635055791932,-8.59940399302261,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LIMA1,True,bus
LIMA2,LIMA2,LIMA,,41.163088882519,-8.59970950817532,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=LIMA2,True,bus
COMB3,COMB3,COMBATENTES,,41.1653389361429,-8.59807071343336,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=COMB3,True,bus
COMB4,COMB4,COMBATENTES,,41.1655055599403,-8.59801505816703,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=COMB4,True,bus
DC4,DC4,DIOGO CÃO,,41.1645242392236,-8.59222508771234,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DC4,True,bus
DC5,DC5,DIOGO CÃO,,41.1647556060664,-8.59234836085641,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=DC5,True,bus
PBSS4,PBSS4,PINTO BESSA,,41.1495554959455,-8.58852770790417,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PBSS4,True,bus
A25A1,A25A1,AV. 25 DE ABRIL,,41.1555277896634,-8.58608327383168,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=A25A1,True,bus
FALC,FALC,FALCÃO,,41.1602778011847,-8.57522226709904,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FALC,True,bus
CRT2,CRT2,CARTES,,41.1613611136838,-8.57294446968271,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CRT2,True,bus
PSG1,PSG1,PEDRAS SALGADAS,,41.1590554973152,-8.5697777180413,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PSG1,True,bus
CPTO1,CPTO1,CERCO DO PORTO,,41.1604048354147,-8.57028567381111,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CPTO1,True,bus
EDRG1,EDRG1,ESTÁDIO DO DRAGÃO,,41.1602777640038,-8.58380550692549,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EDRG1,True,bus
